country_name,top_country,population,health_expenditure_per_person,edu_expenditure_per_person,political_stability,gov_effectiveness,regulatory_quality,rule_of_law,control_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,financial_freedom_score
Comoros,0,800000,121,41.49563132,0.03,-1.57,-1.04,-1.05,-0.68,28.2,27.5,36.7,56.2,30
Congo (Dem. Rep.),0,81000000,34,NA,-2.3,-1.63,-1.47,-1.69,-1.42,23.9,27.3,24.1,52.1,20
Congo (Rep.),0,4500000,203,NA,-0.53,-1.19,-1.33,-1.1,-1.33,28.2,24.6,32.4,38.9,30
Costa Rica,2,4900000,1286,729.170587,0.51,0.25,0.45,0.45,0.47,57.8,51.8,54.8,65.6,50
Cote d'Ivoire,0,24000000,190,71.86236426,-1.09,-0.74,-0.36,-0.63,-0.52,44.2,36.6,39.4,62,50
Croatia,0,4200000,1656,NA,0.75,0.58,0.42,0.33,0.19,56.5,40.5,65.9,61,60
Cuba,0,11000000,NA,NA,0.69,-0.2,-1.33,-0.43,0.27,10,38.1,29.7,31.9,10
Cyprus,0,800000,2137,NA,0.6,0.92,1.03,0.88,0.78,56.7,41.3,71.2,67.8,60
Czech Republic,1,11000000,2470,NA,1.02,1.02,1.23,1.12,0.57,57.9,51.1,73,74.2,80
Denmark,2,6000000,5083,NA,0.87,1.8,1.62,1.86,2.19,83.6,84.1,84.8,76.6,80
Djibouti,0,1000000,147,NA,-0.71,-1.03,-0.64,-0.91,-0.64,13.8,29,19,45.1,50
Dominica,0,100000,586,NA,1.04,-0.25,0.13,0.65,0.65,69.2,49.9,48.6,64.5,30
Dominican Republic,0,11000000,873,NA,0.16,-0.35,-0.08,-0.42,-0.74,23.1,26.2,51.7,61.6,40
Ecuador,1,17000000,980,NA,-0.1,-0.32,-1,-0.7,-0.6,23.3,30.2,36.7,48.5,40
Egypt,0,98000000,495,NA,-1.42,-0.62,-0.86,-0.53,-0.54,52.5,32.2,32.7,53.4,50
El Salvador,1,6000000,578,124.0030009,-0.25,-0.37,-0.15,-0.86,-0.51,35.4,25.2,37.3,63.2,60
Equatorial Guinea,0,800000,790,NA,-0.15,-1.44,-1.4,-1.49,-1.83,17.6,26.2,29.8,42,30
Eritrea,0,5000000,56,NA,-0.66,-1.73,-2.2,-1.56,-1.2,13.8,23.4,35.5,41.7,20
Estonia,0,1300000,1887,NA,0.66,1.12,1.64,1.28,1.24,83.9,75.7,80.4,78.8,80
Eswatini,0,1100000,NA,NA,-0.3,-0.58,-0.56,-0.29,-0.3,NA,NA,NA,NA,NA
Ethiopia,0,105000000,66,NA,-1.69,-0.7,-1.01,-0.45,-0.56,37.6,37.7,31.1,52.8,20
Fiji,0,900000,331,NA,0.79,0.09,-0.22,-0.25,0.36,47.1,34.8,68.3,62,50
Finland,2,6000000,3669,3569.670036,1.07,1.94,1.82,2.03,2.22,82.7,89.8,89,74.1,80
France,1,67000000,4542,2373.048967,0.21,1.35,1.16,1.44,1.26,72.7,65.1,84,63.9,70
Gabon,0,1900000,481,NA,-0.09,-0.94,-0.79,-0.68,-0.81,27.8,33.4,29.9,58,40
"Gambia, The",0,2100000,NA,NA,-0.21,-0.65,-0.45,-0.45,-0.66,38.8,36.8,34.4,52.3,50
Georgia,0,3700000,718,NA,-0.37,0.57,1.05,0.33,0.74,64.2,61.8,62.8,76.2,60
Germany,2,83000000,5357,2369.043117,0.58,1.72,1.78,1.61,1.84,78,75.3,81,74.2,70
Ghana,0,29000000,249,89.2967664,0.09,-0.11,-0.14,0.13,-0.23,43.7,32.9,48.9,56,60
Greece,0,11000000,2204,NA,-0.13,0.31,0.24,0.08,-0.14,59,37.9,52.3,57.3,40
Grenada,0,108000,677,NA,1.03,-0.18,-0.05,0.44,0.48,NA,NA,NA,NA,NA
Guatemala,0,17000000,444,108.4715161,-0.57,-0.64,-0.26,-1.06,-0.74,33.1,27.3,40.4,63.4,50
Guinea,0,13000000,57,17.96193435,-0.61,-1.04,-0.84,-1.23,-1.01,28.2,26.9,32.4,52.2,40
Guinea-Bissau,0,1700000,100,NA,-0.6,-1.77,-1.18,-1.44,-1.56,53.5,27.3,31.1,56.9,30
Guyana,0,800000,336,NA,-0.04,-0.29,-0.39,-0.29,-0.51,42.5,34.8,42.1,58.7,30
Haiti,0,11000000,120,NA,-0.7,-2.06,-1.32,-1.09,-1.24,42.5,24.6,25.1,55.8,30
Honduras,0,9000000,353,NA,-0.55,-0.51,-0.44,-1.05,-0.72,34.5,28.2,44.3,60.6,60
Hungary,0,10000000,1912,657.8033359,0.81,0.51,0.65,0.53,0.09,57.1,36.4,57.6,66.7,70
Iceland,2,300000,4116,NA,1.37,1.45,1.43,1.61,1.84,72.6,77.3,86.7,77,70
India,0,1339000000,238,NA,-0.83,0.09,-0.25,0,-0.24,54.3,47.2,55.4,54.5,40
Indonesia,1,264000000,369,114.8040493,-0.51,0.04,-0.11,-0.35,-0.25,45.2,42.8,49.3,64.2,60
Iran,0,81000000,1262,155.2225025,-0.93,-0.19,-1.2,-0.68,-0.81,35.3,32.6,32.5,50.9,10
Iraq,0,38000000,481,NA,-2.33,-1.27,-1.2,-1.64,-1.37,11.4,23.4,36.7,NA,NA
Ireland,2,4700000,5335,NA,1.02,1.29,1.59,1.43,1.55,79,79,87.7,80.4,70
Israel,1,9000000,2819,2154.451733,-0.88,1.39,1.27,1.02,0.83,83.1,61.2,78.2,72.2,70
Italy,0,61000000,3351,1442.50075,0.24,0.5,0.7,0.32,0.19,60.9,40.1,71.2,62.5,50
Jamaica,1,2800000,511,292.354151,0.25,0.49,0.14,-0.16,-0.17,56.6,39.4,60.9,69.1,50
Japan,2,127000000,4405,1368.351743,1.12,1.62,1.37,1.57,1.52,73.2,79.2,86,72.3,60
Jordan,0,10000000,568,NA,-0.53,0.12,0.1,0.26,0.26,57.3,51.9,57.6,64.9,60
Kazakhstan,0,18000000,903,NA,0.02,0.01,0.17,-0.41,-0.82,58.1,44.6,56,69.1,50
Kenya,0,50000000,157,70.49651009,-1.08,-0.31,-0.23,-0.41,-0.96,44,27.5,47.9,54.7,50
Kiribati,0,100000,152,NA,0.9,-0.25,-0.83,0.53,0.39,35.3,37.9,45,50.8,30
Korea (Dem. People's Rep.),0,25000000,NA,NA,-0.48,-1.69,-2.34,-1.71,-1.48,NA,NA,NA,NA,NA
Korea (Rep.),0,51000000,NA,1406.338953,0.29,1.08,1.11,1.16,0.48,63.7,49.9,79.4,73.8,70
Kosovo,0,1900000,NA,NA,-0.21,-0.41,-0.13,-0.42,-0.5,59,45.4,52.3,66.6,30
Kuwait,0,4200000,2978,NA,-0.04,-0.17,-0.06,0.1,-0.33,53.5,36.6,52,62.2,60
Kyrgyzstan,0,6000000,287,70.79174527,-0.43,-0.71,-0.35,-0.93,-1.05,22.1,29.4,50.2,62.8,50
Laos,0,7000000,NA,59.27289447,0.43,-0.36,-0.72,-0.88,-0.94,41.4,33.1,34.1,53.6,20
Latvia,0,2000000,1429,828.0640192,0.46,0.9,1.15,0.93,0.54,58.9,45.4,68.3,73.6,60
Lebanon,0,4600000,1117,NA,-1.59,-0.51,-0.31,-0.82,-1,33.6,20.2,39.7,53.2,50
Lesotho,0,1900000,251,NA,-0.25,-0.85,-0.32,-0.27,-0.03,52.7,32.9,49.4,53.9,40
Liberia,0,4400000,128,NA,-0.41,-1.37,-0.95,-0.97,-0.69,42.4,32,28.2,50.9,20
Libya,0,6000000,NA,NA,-2.33,-1.77,-2.21,-1.78,-1.59,22.1,23.1,5.2,NA,NA
